,smiles,core_smiles,E_neu(eV),E_an(eV),E_neu - E_an(eV),E(meV),GP-calibrated E vs Li/Li+ (V),GP uncertainty (meV),boltzmann_averaged_electronic_coupling (eV)
0,CN1C(=O)c2c(N(C)C)ccc(N(C)C)c2C1=O,CN1C(=O)c2ccccc2C1=O,-1455.401496,-1462.643586,7.242089756,2396.089756,1.445224435,33.10193459,0.194044567
1,CN1C(=O)c2c(N)ccc(N)c2C1=O,CN1C(=O)c2ccccc2C1=O,-1111.165925,-1118.490551,7.324625448,2478.625448,1.488681837,28.02694555,0.444751694
2,CN1C(=O)c2cc(N)c(N)cc2C1=O,CN1C(=O)c2ccccc2C1=O,-1110.879608,-1118.227383,7.347774402,2501.774402,1.496705669,26.63893198,0.091602638
3,CN1C(=O)c2ccc(N(C)C)cc2C1=O,CN1C(=O)c2ccccc2C1=O,-1189.642604,-1196.988741,7.3461366,2500.1366,1.498098972,26.73272881,0.293093882
4,CN1C(=O)c2cc(N(C)C)c(N(C)C)cc2C1=O,CN1C(=O)c2ccccc2C1=O,-1455.361402,-1462.74604,7.384637296,2538.637296,1.518682986,24.3763144,0.046418702
5,CN1C(=O)c2ccc(N)cc2C1=O,CN1C(=O)c2ccccc2C1=O,-1017.319625,-1024.787771,7.468145652,2622.145652,1.566243013,19.41520642,0.258679707
6,CN1C(=O)c2cccc(N(C)C)c2C1=O,CN1C(=O)c2ccccc2C1=O,-1189.523742,-1197.010064,7.486322133,2640.322133,1.578823743,18.32306917,0.160495383
7,CN1C(=O)c2cccc(N)c2C1=O,CN1C(=O)c2ccccc2C1=O,-1017.396749,-1024.928086,7.531337079,2685.337079,1.603534505,15.59272765,0.419279628
8,Cc1ccc(C)c2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1096.247339,-1103.854687,7.60734758,2761.34758,1.650745105,11.38173478,0.225828917
9,CCc1ccc(CC)c2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1268.501019,-1276.109047,7.608028422,2762.028422,1.652404924,11.47869684,0.140179721
10,Cc1cc2c(cc1C)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1096.209565,-1103.818698,7.609132918,2763.132918,1.653780001,11.59704479,0.188201926
11,CCc1cc2c(cc1CC)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1268.41333,-1276.034617,7.621286703,2775.286703,1.658781878,10.61290375,0.022236359
12,COCCc1cc2c(cc1CCOC)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1661.454206,-1669.100474,7.646268369,2800.268369,1.673579333,9.272523116,0.020501581
13,COc1cc2c(cc1OC)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1317.264858,-1324.931443,7.666584845,2820.584845,1.682330458,7.633800329,0.24895141
14,COCCc1ccc(CCOC)c2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1661.604962,-1669.279071,7.67410844,2828.10844,1.687936207,7.362636264,0.021431674
15,CN1C(=O)c2cc(O)c(O)cc2C1=O,CN1C(=O)c2ccccc2C1=O,-1145.502858,-1153.180119,7.677260712,2831.260712,1.689326256,7.153830396,0.030320654
16,CN(C)c1ccc(N(C)C)c2nsnc12,c1ccc2nsnc2c1,-1184.226339,-1191.16519,6.938851431,2092.851431,1.698669171,34.61267888,0.076563875
17,Cc1cccc2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1009.882129,-1017.578165,7.696036424,2850.036424,1.701229033,6.302300453,0.309816651
18,CCc1cccc2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1096.005845,-1103.703444,7.697598324,2851.598324,1.70123381,5.99267385,0.233761532
19,Cc1ccc2c(c1)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1009.869282,-1017.566525,7.697242992,2851.242992,1.701897131,6.259565062,0.332996554
20,CCc1ccc2c(c1)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1096.001209,-1103.702453,7.701243275,2855.243275,1.702588277,5.703491474,0.19173542
21,CN1C(=O)c2ccc(O)cc2C1=O,CN1C(=O)c2ccccc2C1=O,-1034.53069,-1042.236261,7.705570367,2859.570367,1.708786773,6.398469012,0.098175278
22,CN1C(=O)c2cccc(O)c2C1=O,CN1C(=O)c2ccccc2C1=O,-1034.476518,-1042.200215,7.723696319,2877.696319,1.713507177,4.216215945,0.020081979
23,COc1ccc2c(c1)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1120.470707,-1128.193886,7.723178182,2877.178182,1.716270238,4.767635152,0.258166071
24,COCCc1cccc2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1292.556109,-1300.285443,7.729333644,2883.333644,1.720461241,4.644146998,0.129070233
25,COc1ccc(OC)c2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1317.209591,-1324.942765,7.733174006,2887.174006,1.723234879,4.748137778,0.35136251
26,COCCc1ccc2c(c1)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1292.500246,-1300.247347,7.747101274,2901.101274,1.729808212,3.532756811,0.120617334
27,COc1cccc2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1120.361119,-1128.115486,7.754366396,2908.366396,1.735769495,4.008508643,0.422230689
28,Nc1cc2nsnc2cc1N,c1ccc2nsnc2c1,-839.7166657,-846.7383386,7.021672873,2175.672873,1.741395757,29.18925615,0.172860578
29,Nc1ccc(N)c2nsnc12,c1ccc2nsnc2c1,-839.6613249,-846.712426,7.051101118,2205.101118,1.756931344,27.25545119,0.080250192
30,CN(C)c1cc2nsnc2cc1N(C)C,c1ccc2nsnc2c1,-1184.179495,-1191.246613,7.067117929,2221.117929,1.76621012,26.2563665,0.026216466
31,COCc1ccc2c(c1)C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1206.305595,-1214.131734,7.826138749,2980.138749,1.777207386,4.115056765,0.22785125
32,COCc1cccc2c1C(=O)N(C)C2=O,CN1C(=O)c2ccccc2C1=O,-1206.330847,-1214.163016,7.832169346,2986.169346,1.77907943,3.919238208,0.226347951
