,smiles,core_smiles,E_neu(eV),E_an(eV),E_neu - E_an(eV),E(meV),exp(meV)
0,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,-1500.85895,-1509.53651,8.677560759,3831.560759,2702
1,COc1cccc(/N=C/c2ccccc2)c1,COc1cccc(/N=C/c2ccccc2)c1,-1185.793513,-1192.702823,6.909310131,2063.310131,1142
2,BrCBr,BrCBr,-307.9320875,-315.2718867,7.339799272,2493.799272,542
3,ClCCCl,ClCCCl,-419.672749,-426.7624819,7.089732892,2243.732892,1102
4,ClC(Cl)(Cl)Cl,ClC(Cl)(Cl)Cl,-553.1283252,-560.5668864,7.438561207,2592.561207,1092
5,ICI,ICI,-293.2250306,-300.5560196,7.330988985,2484.988985,1202
6,O=C(CBr)c1ccccc1,O=C(CBr)c1ccccc1,-784.5829986,-792.5032011,7.920202544,3074.202544,1562
7,C(=N/c1ccccc1)\c1ccccc1,C(=N/c1ccccc1)\c1ccccc1,-988.8656199,-995.7596524,6.894032503,2048.032503,1112
8,Fc1ccc(/N=C/c2ccccc2)cc1,Fc1ccc(/N=C/c2ccccc2)cc1,-1104.009303,-1111.074529,7.065225619,2219.225619,1122
9,Clc1ccc(I)cc1,Clc1ccc(I)cc1,-632.7183097,-639.2613542,6.543044562,1697.044562,1082
10,O=[N+]([O-])c1ccc(F)cc1,O=[N+]([O-])c1ccc(F)cc1,-832.2160357,-840.4876625,8.271626761,3425.626761,1792
11,O=Cc1ccc2ccccc2c1,O=Cc1ccc2ccccc2c1,-862.1370223,-869.4275581,7.290535808,2444.535808,1292
12,O=Cc1ccc(-c2ccccc2)cc1,O=Cc1ccc(-c2ccccc2)cc1,-1006.220862,-1013.502695,7.281833668,2435.833668,1302
13,O=Cc1ccc(C(F)(F)F)cc1,O=Cc1ccc(C(F)(F)F)cc1,-1032.212436,-1039.970613,7.758176985,2912.176985,1362
14,N#Cc1ccc(C=O)cc1,N#Cc1ccc(C=O)cc1,-724.003771,-731.86565,7.861879055,3015.879055,1602
15,O=Cc1ccc([N+](=O)[O-])cc1,O=Cc1ccc([N+](=O)[O-])cc1,-885.6621404,-894.4187381,8.756597704,3910.597704,2162
16,CC(=O)c1ccc(C)cc1,CC(=O)c1ccc(C)cc1,-773.7103188,-780.3839574,6.673638579,1827.638579,862
17,CC(=O)c1ccc(F)cc1,CC(=O)c1ccc(F)cc1,-802.4659876,-809.4967486,7.030760999,2184.760999,892
18,CC(=O)c1ccccc1,CC(=O)c1ccccc1,-687.3601496,-694.1427554,6.782605829,1936.605829,912
19,CC(=O)c1ccc(Cl)cc1,CC(=O)c1ccc(Cl)cc1,-797.6675628,-804.7334353,7.065872548,2219.872548,1112
20,CC(=O)c1ccc(-c2ccccc2)cc1,CC(=O)c1ccc(-c2ccccc2)cc1,-1092.65403,-1099.700197,7.046166836,2200.166836,1112
21,CC(=O)c1ccc(Br)cc1,CC(=O)c1ccc(Br)cc1,-784.8571867,-792.1066222,7.249435492,2403.435492,1132
22,CC(=O)c1ccc(I)cc1,CC(=O)c1ccc(I)cc1,-777.4813499,-784.7101007,7.228750855,2382.750855,1172
23,CC(=O)c1ccc(C(F)(F)F)cc1,CC(=O)c1ccc(C(F)(F)F)cc1,-1118.702599,-1126.182909,7.480309418,2634.309418,1282
24,CC(=O)c1ccc([N+](=O)[O-])cc1,CC(=O)c1ccc([N+](=O)[O-])cc1,-972.1609673,-980.7392877,8.578320419,3732.320419,2092
25,COC(=O)c1ccccc1,COC(=O)c1ccccc1,-798.600433,-805.3190243,6.718591295,1872.591295,682
26,O=C(O)c1ccccc1,O=C(O)c1ccccc1,-712.3985483,-719.2390297,6.840481429,1994.481429,732
27,N#Cc1cccc(C#N)c1,N#Cc1cccc(C#N)c1,-678.5220735,-685.6955162,7.173442639,2327.442639,1122
28,COC(=O)c1ccc(C#N)cc1,COC(=O)c1ccc(C#N)cc1,-921.7061494,-929.2692662,7.563116835,2717.116835,1302
29,N#Cc1ccccc1C#N,N#Cc1ccccc1C#N,-678.5096423,-685.9035393,7.393896922,2547.896922,1322
